x,train[y1]->ideal[y42],train[y2]->ideal[y41],train[y3]->ideal[y11],train[y4]->ideal[y48]
-15.6,30.702911,-31.253878,-15.6,0.053563137
-15.5,30.510773,-31.103233,-15.5,0.10100941
-15.4,30.323524,-30.95156,-15.4,0.14442876
-15.3,30.141035,-30.79837,-15.3,0.1820902
-15.2,29.96313,-30.6432,-15.2,0.21249226
-15.1,29.789593,-30.485598,-15.1,0.23442294
-15.0,29.620155,-30.325144,-15.0,0.2470079
-14.9,29.454514,-30.16144,-14.9,0.24974546
-14.8,29.292324,-29.994125,-14.8,0.24252643
-14.7,29.133207,-29.822874,-14.7,0.22563866
-14.6,28.976757,-29.647396,-14.6,0.19975537
-14.5,28.822538,-29.467447,-14.5,0.16590847
-14.4,28.670092,-29.28283,-14.4,0.12544732
-14.3,28.518942,-29.093386,-14.3,0.07998499
-14.2,28.368605,-28.899014,-14.2,0.031333905
-14.1,28.218578,-28.699656,-14.1,-0.01856636
-14.0,28.068369,-28.495304,-14.0,-0.06772645
-13.9,27.917475,-28.286003,-13.9,-0.114186496
-13.8,27.765408,-28.071848,-13.8,-0.15609428
-13.7,27.611687,-27.852978,-13.7,-0.19177909
-13.6,27.455853,-27.629581,-13.6,-0.21981826
-13.5,27.29746,-27.401892,-13.5,-0.23909399
-13.4,27.136097,-27.170187,-13.4,-0.24883777
-13.3,26.971375,-26.934784,-13.3,-0.24866119
-13.2,26.802942,-26.696037,-13.2,-0.23857127
-13.1,26.630484,-26.45433,-13.1,-0.21897027
-13.0,26.453724,-26.210083,-13.0,-0.19063962
-12.9,26.27243,-25.963737,-12.9,-0.15470876
-12.8,26.086416,-25.715755,-12.8,-0.11261015
-12.7,25.895542,-25.466616,-12.7,-0.06602213
-12.6,25.699717,-25.216812,-12.6,-0.016802019
-12.5,25.4989,-24.966839,-12.5,0.03308794
-12.4,25.293097,-24.717197,-12.4,0.08165878
-12.3,25.082367,-24.468384,-12.3,0.12697415
-12.2,24.866817,-24.220886,-12.2,0.16722746
-12.1,24.646603,-23.975176,-12.1,0.20081393
-12.0,24.421926,-23.731714,-12.0,0.2263946
-11.9,24.193035,-23.49093,-11.9,0.2429496
-11.8,23.960217,-23.253237,-11.8,0.249819
-11.7,23.723799,-23.019009,-11.7,0.24672888
-11.6,23.484144,-22.788586,-11.6,0.23380248
-11.5,23.241652,-22.562273,-11.5,0.21155511
-11.4,22.996746,-22.340336,-11.4,0.18087369
-11.3,22.749872,-22.12299,-11.3,0.14298141
-11.2,22.501503,-21.910412,-11.2,0.09938892
-11.1,22.252117,-21.702724,-11.1,0.051834106
-11.0,22.002213,-21.500006,-11.0,0.0022128273
-10.9,21.752285,-21.302282,-10.9,-0.04749667
-10.8,21.502834,-21.109531,-10.8,-0.095312625
-10.7,21.254354,-20.921682,-10.7,-0.13932876
-10.6,21.007332,-20.738613,-10.6,-0.1777903
-10.5,20.762232,-20.560152,-10.5,-0.2091639
-10.4,20.519508,-20.386087,-10.4,-0.2321988
-10.3,20.279587,-20.216158,-10.3,-0.24597667
-10.2,20.042868,-20.050062,-10.2,-0.24994822
-10.1,19.809715,-19.887465,-10.1,-0.24395514
-10.0,19.580463,-19.72799,-10.0,-0.22823632
-9.9,19.355404,-19.571232,-9.9,-0.20341843
-9.8,19.134787,-19.41676,-9.8,-0.1704909
-9.7,18.918818,-19.26412,-9.7,-0.13076644
-9.6,18.707657,-19.112837,-9.6,-0.08582873
-9.5,18.501413,-18.962425,-9.5,-0.0374693
-9.4,18.300154,-18.812387,-9.4,0.01238391
-9.3,18.103888,-18.662228,-9.3,0.061743416
-9.2,17.912579,-18.511444,-9.2,0.10864141
-9.1,17.72614,-18.359549,-9.1,0.1512082
-9.0,17.544436,-18.206059,-9.0,0.18774681
-8.9,17.367283,-18.05051,-8.9,0.21680054
-8.8,17.194454,-17.892458,-8.8,0.23721112
-8.7,17.025677,-17.731485,-8.7,0.24816485
-8.6,16.86064,-17.567198,-8.6,0.24922502
-8.5,16.698994,-17.399244,-8.5,0.24034937
-8.4,16.540356,-17.227299,-8.4,0.22189176
-8.3,16.384312,-17.051086,-8.3,0.19458802
-8.2,16.230423,-16.870365,-8.2,0.15952668
-8.1,16.078228,-16.684944,-8.1,0.11810549
-8.0,15.92725,-16.494678,-8.0,0.07197583
-7.9,15.7769985,-16.29947,-7.9,0.022976713
-7.8,15.626978,-16.099272,-7.8,-0.026938412
-7.7,15.4766865,-15.894084,-7.7,-0.07577959
-7.6,15.32563,-15.68396,-7.6,-0.121599674
-7.5,15.173318,-15.469,-7.5,-0.16257197
-7.4,15.019274,-15.249354,-7.4,-0.19706301
-7.3,14.863039,-15.025218,-7.3,-0.2236978
-7.2,14.704176,-14.796834,-7.2,-0.24141444
-7.1,14.5422735,-14.564485,-7.1,-0.24950667
-7.0,14.376951,-14.328493,-7.0,-0.24765185
-6.9,14.207863,-14.08922,-6.9,-0.23592392
-6.8,14.0346985,-13.847056,-6.8,-0.21479045
-6.7,13.857192,-13.602425,-6.7,-0.18509397
-6.6,13.675117,-13.355771,-6.6,-0.14801838
-6.5,13.488294,-13.10756,-6.5,-0.10504176
-6.4,13.296593,-12.858274,-6.4,-0.057877455
-6.3,13.099929,-12.608407,-6.3,-0.008405762
-6.2,12.898271,-12.358456,-6.2,0.041401044
-6.1,12.691634,-12.108919,-6.1,0.08955732
-6.0,12.480085,-11.860292,-6.0,0.13414323
-5.9,12.26374,-11.613062,-5.9,0.17338127
-5.8,12.04276,-11.367699,-5.8,0.20570715
-5.7,11.817356,-11.124658,-5.7,0.22983213
-5.6,11.587783,-10.884367,-5.6,0.24479443
-5.5,11.354335,-10.64723,-5.5,0.24999756
-5.4,11.117347,-10.413618,-5.4,0.24523406
-5.3,10.877187,-10.1838665,-5.3,0.23069386
-5.2,10.634258,-9.958273,-5.2,0.20695661
-5.1,10.3889885,-9.737093,-5.1,0.17496867
-5.0,10.141831,-9.520538,-5.0,0.13600528
-4.9,9.893256,-9.308774,-4.9,0.09161978
-4.8,9.643749,-9.101917,-4.8,0.043581694
-4.7,9.3938055,-8.900039,-4.7,-0.0061938562
-4.6,9.143924,-8.703155,-4.6,-0.05572248
-4.5,8.894602,-8.511235,-4.5,-0.10302962
-4.4,8.646334,-8.324199,-4.4,-0.1462293
-4.3,8.3996,-8.141917,-4.3,-0.18359928
-4.2,8.15487,-7.964212,-4.2,-0.21364972
-4.1,7.912588,-7.7908616,-4.1,-0.23518264
-4.0,7.673178,-7.6215987,-4.0,-0.24733956
-3.9,7.4370337,-7.456117,-3.9,-0.24963583
-3.8,7.204516,-7.294071,-3.8,-0.24197991
-3.7,6.97595,-7.135082,-3.7,-0.22467703
-3.6,6.751621,-6.9787397,-3.6,-0.19841696
-3.5,6.5317717,-6.8246083,-3.5,-0.16424665
-3.4,6.316601,-6.6722293,-3.4,-0.12352834
-3.3,6.1062603,-6.521127,-3.3,-0.07788534
-3.2,5.9008527,-6.370813,-3.2,-0.0291373
-3.1,5.7004323,-6.2207904,-3.1,0.020772351
-3.0,5.505004,-6.07056,-3.0,0.06985387
-2.9,5.314521,-5.919625,-2.9,0.11615054
-2.8,5.1288886,-5.767494,-2.8,0.15781666
-2.7,4.9479637,-5.61369,-2.7,0.19319113
-2.6,4.7715554,-5.457751,-2.6,0.22086367
-2.5,4.599428,-5.2992363,-2.5,0.23973107
-2.4,4.431303,-5.1377316,-2.4,0.24904115
-2.3,4.266862,-4.9728527,-2.3,0.24842276
-2.2,4.1057496,-4.8042483,-2.2,0.23790053
-2.1,3.947577,-4.6316047,-2.1,0.21789394
-2.0,3.7919266,-4.4546485,-2.0,0.18920062
-1.9,3.6383553,-4.27315,-1.9,0.15296447
-1.8,3.486399,-4.0869236,-1.8,0.11063011
-1.7,3.3355777,-3.8958323,-1.7,0.06388528
-1.6,3.1854002,-3.699787,-1.6,0.014593536
-1.5,3.0353687,-3.4987476,-1.5,-0.03528
-1.4,2.8849835,-3.2927248,-1.4,-0.08374704
-1.3,2.7337494,-3.081779,-1.3,-0.12887534
-1.2,2.581179,-2.8660195,-1.2,-0.1688658
-1.1,2.426798,-2.6456037,-1.1,-0.2021241
-1.0,2.2701511,-2.4207356,-1.0,-0.22732435
-0.9,2.110805,-2.1916635,-0.9,-0.2434619
-0.8,1.9483534,-1.958678,-0.8,-0.2498934
-0.7,1.7824211,-1.7221088,-0.7,-0.24636243
-0.6,1.6126678,-1.4823213,-0.6,-0.23300977
-0.5,1.4387913,-1.2397127,-0.5,-0.21036774
-0.4,1.2605305,-0.9947092,-0.4,-0.17933902
-0.3,1.0776682,-0.7477601,-0.3,-0.14116062
-0.2,0.8900333,-0.49933466,-0.2,-0.09735458
-0.1,0.6975021,-0.2499167,-0.1,-0.049667332
2.842171e-13,0.5,7.1054274e-13,2.842171e-13,1.4210855e-13
0.1,0.29750207,0.2499167,0.1,0.049667332
0.2,0.090033285,0.49933466,0.2,0.09735458
0.3,-0.12233175,0.7477601,0.3,0.14116062
0.4,-0.3394695,0.9947092,0.4,0.17933902
0.5,-0.5612087,1.2397127,0.5,0.21036774
0.6,-0.7873322,1.4823213,0.6,0.23300977
0.7,-1.017579,1.7221088,0.7,0.24636243
0.8,-1.2516466,1.958678,0.8,0.2498934
0.9,-1.489195,2.1916635,0.9,0.2434619
1.0,-1.7298489,2.4207356,1.0,0.22732435
1.1,-1.973202,2.6456037,1.1,0.2021241
1.2,-2.218821,2.8660195,1.2,0.1688658
1.3,-2.4662507,3.081779,1.3,0.12887534
1.4,-2.7150164,3.2927248,1.4,0.08374704
1.5,-2.9646313,3.4987476,1.5,0.03528
1.6,-3.2145998,3.699787,1.6,-0.014593536
1.7,-3.4644222,3.8958323,1.7,-0.06388528
1.8,-3.713601,4.0869236,1.8,-0.11063011
1.9,-3.961645,4.27315,1.9,-0.15296447
2.0,-4.2080736,4.4546485,2.0,-0.18920062
2.1,-4.452423,4.6316047,2.1,-0.21789394
2.2,-4.6942506,4.8042483,2.2,-0.23790053
2.3,-4.933138,4.9728527,2.3,-0.24842276
2.4,-5.168697,5.1377316,2.4,-0.24904115
2.5,-5.400572,5.2992363,2.5,-0.23973107
2.6,-5.628444,5.457751,2.6,-0.22086367
2.7,-5.852036,5.61369,2.7,-0.19319113
2.8,-6.071111,5.767494,2.8,-0.15781666
2.9,-6.285479,5.919625,2.9,-0.11615054
3.0,-6.494996,6.07056,3.0,-0.06985387
3.1,-6.699568,6.2207904,3.1,-0.020772351
3.2,-6.8991475,6.370813,3.2,0.0291373
3.3,-7.09374,6.521127,3.3,0.07788534
3.4,-7.283399,6.6722293,3.4,0.12352834
3.5,-7.4682283,6.8246083,3.5,0.16424665
3.6,-7.6483793,6.9787397,3.6,0.19841696
3.7,-7.82405,7.135082,3.7,0.22467703
3.8,-7.995484,7.294071,3.8,0.24197991
3.9,-8.162966,7.456117,3.9,0.24963583
4.0,-8.326822,7.6215987,4.0,0.24733956
4.1,-8.4874115,7.7908616,4.1,0.23518264
4.2,-8.64513,7.964212,4.2,0.21364972
4.3,-8.8004,8.141917,4.3,0.18359928
4.4,-8.953667,8.324199,4.4,0.1462293
4.5,-9.105398,8.511235,4.5,0.10302962
4.6,-9.256076,8.703155,4.6,0.05572248
4.7,-9.406195,8.900039,4.7,0.0061938562
4.8,-9.556251,9.101917,4.8,-0.043581694
4.9,-9.706744,9.308774,4.9,-0.09161978
5.0,-9.858169,9.520538,5.0,-0.13600528
5.1,-10.011011,9.737093,5.1,-0.17496867
5.2,-10.165742,9.958273,5.2,-0.20695661
5.3,-10.322813,10.1838665,5.3,-0.23069386
5.4,-10.482654,10.413618,5.4,-0.24523406
5.5,-10.645665,10.64723,5.5,-0.24999756
5.6,-10.812217,10.884367,5.6,-0.24479443
5.7,-10.982644,11.124658,5.7,-0.22983213
5.8,-11.15724,11.367699,5.8,-0.20570715
5.9,-11.336261,11.613062,5.9,-0.17338127
6.0,-11.519915,11.860292,6.0,-0.13414323
6.1,-11.708365,12.108919,6.1,-0.08955732
6.2,-11.901729,12.358456,6.2,-0.041401044
6.3,-12.100071,12.608407,6.3,0.008405762
6.4,-12.303408,12.858274,6.4,0.057877455
6.5,-12.511706,13.10756,6.5,0.10504176
6.6,-12.724884,13.355771,6.6,0.14801838
6.7,-12.942808,13.602425,6.7,0.18509397
6.8,-13.165301,13.847056,6.8,0.21479045
6.9,-13.392138,14.08922,6.9,0.23592392
7.0,-13.623049,14.328493,7.0,0.24765185
7.1,-13.857727,14.564485,7.1,0.24950667
7.2,-14.095824,14.796834,7.2,0.24141444
7.3,-14.336961,15.025218,7.3,0.2236978
7.4,-14.580727,15.249354,7.4,0.19706301
7.5,-14.826682,15.469,7.5,0.16257197
7.6,-15.07437,15.68396,7.6,0.121599674
7.7,-15.323313,15.894084,7.7,0.07577959
7.8,-15.573022,16.099272,7.8,0.026938412
7.9,-15.823001,16.29947,7.9,-0.022976713
8.0,-16.07275,16.494678,8.0,-0.07197583
8.1,-16.321772,16.684944,8.1,-0.11810549
8.2,-16.569578,16.870365,8.2,-0.15952668
8.3,-16.81569,17.051086,8.3,-0.19458802
8.4,-17.059645,17.227299,8.4,-0.22189176
8.5,-17.301006,17.399244,8.5,-0.24034937
8.6,-17.53936,17.567198,8.6,-0.24922502
8.7,-17.774323,17.731485,8.7,-0.24816485
8.8,-18.005547,17.892458,8.8,-0.23721112
8.9,-18.232718,18.05051,8.9,-0.21680054
9.0,-18.455564,18.206059,9.0,-0.18774681
9.1,-18.67386,18.359549,9.1,-0.1512082
9.2,-18.887423,18.511444,9.2,-0.10864141
9.3,-19.096113,18.662228,9.3,-0.061743416
9.4,-19.299847,18.812387,9.4,-0.01238391
9.5,-19.498587,18.962425,9.5,0.0374693
9.6,-19.692345,19.112837,9.6,0.08582873
9.7,-19.881182,19.26412,9.7,0.13076644
9.8,-20.065212,19.41676,9.8,0.1704909
9.9,-20.244596,19.571232,9.9,0.20341843
10.0,-20.419537,19.72799,10.0,0.22823632
10.1,-20.590284,19.887465,10.1,0.24395514
10.2,-20.757133,20.050062,10.2,0.24994822
10.3,-20.920414,20.216158,10.3,0.24597667
10.4,-21.080492,20.386087,10.4,0.2321988
10.5,-21.237768,20.560152,10.5,0.2091639
10.6,-21.39267,20.738613,10.6,0.1777903
10.7,-21.545645,20.921682,10.7,0.13932876
10.8,-21.697165,21.109531,10.8,0.095312625
10.9,-21.847715,21.302282,10.9,0.04749667
11.0,-21.997787,21.500006,11.0,-0.0022128273
11.1,-22.147882,21.702724,11.1,-0.051834106
11.2,-22.298498,21.910412,11.2,-0.09938892
11.3,-22.450127,22.12299,11.3,-0.14298141
11.4,-22.603254,22.340336,11.4,-0.18087369
11.5,-22.758348,22.562273,11.5,-0.21155511
11.6,-22.915855,22.788586,11.6,-0.23380248
11.7,-23.076202,23.019009,11.7,-0.24672888
11.8,-23.239784,23.253237,11.8,-0.249819
11.9,-23.406965,23.49093,11.9,-0.2429496
12.0,-23.578074,23.731714,12.0,-0.2263946
12.1,-23.753397,23.975176,12.1,-0.20081393
12.2,-23.933184,24.220886,12.2,-0.16722746
12.3,-24.117634,24.468384,12.3,-0.12697415
12.4,-24.306904,24.717197,12.4,-0.08165878
12.5,-24.5011,24.966839,12.5,-0.03308794
12.6,-24.700283,25.216812,12.6,0.016802019
12.7,-24.904457,25.466616,12.7,0.06602213
12.8,-25.113585,25.715755,12.8,0.11261015
12.9,-25.32757,25.963737,12.9,0.15470876
13.0,-25.546276,26.210083,13.0,0.19063962
13.1,-25.769516,26.45433,13.1,0.21897027
13.2,-25.997059,26.696037,13.2,0.23857127
13.3,-26.228626,26.934784,13.3,0.24866119
13.4,-26.463903,27.170187,13.4,0.24883777
13.5,-26.70254,27.401892,13.5,0.23909399
13.6,-26.944147,27.629581,13.6,0.21981826
13.7,-27.188313,27.852978,13.7,0.19177909
13.8,-27.434593,28.071848,13.8,0.15609428
13.9,-27.682526,28.286003,13.9,0.114186496
14.0,-27.931631,28.495304,14.0,0.06772645
14.1,-28.181421,28.699656,14.1,0.01856636
14.2,-28.431396,28.899014,14.2,-0.031333905
14.3,-28.681057,29.093386,14.3,-0.07998499
14.4,-28.929909,29.28283,14.4,-0.12544732
14.5,-29.177462,29.467447,14.5,-0.16590847
14.6,-29.423243,29.647396,14.6,-0.19975537
14.7,-29.666792,29.822874,14.7,-0.22563866
14.8,-29.907677,29.994125,14.8,-0.24252643
14.9,-30.145487,30.16144,14.9,-0.24974546
15.0,-30.379845,30.325144,15.0,-0.2470079
15.1,-30.610407,30.485598,15.1,-0.23442294
15.2,-30.836868,30.6432,15.2,-0.21249226
15.3,-31.058966,30.79837,15.3,-0.1820902
15.4,-31.276476,30.95156,15.4,-0.14442876
15.5,-31.489227,31.103233,15.5,-0.10100941
15.6,-31.697088,31.253878,15.6,-0.053563137
15.7,-31.899984,31.403982,15.7,-0.0039814655
15.8,-32.097885,31.554047,15.8,0.045758933
15.9,-32.29081,31.70457,15.9,0.09367507
16.0,-32.47883,31.856049,16.0,0.13785668
16.1,-32.662067,32.008965,16.1,0.17654237
16.2,-32.840687,32.163788,16.2,0.20818987
16.3,-33.014904,32.320972,16.3,0.2315375
16.4,-33.184975,32.480946,16.4,0.24565446
16.5,-33.3512,32.644108,16.5,0.24997796
16.6,-33.513912,32.810825,16.6,0.24433562
16.7,-33.673492,32.98143,16.7,0.22895241
16.8,-33.830338,33.156216,16.8,0.20444156
16.9,-33.984882,33.335438,16.9,0.17178029
17.0,-34.13758,33.519302,17.0,0.13227068
17.1,-34.288906,33.707966,17.1,0.08748784
17.2,-34.43934,33.90155,17.2,0.039217148
17.3,-34.589382,34.100113,17.3,-0.010617008
17.4,-34.73953,34.30367,17.4,-0.0600279
17.5,-34.89028,34.512188,17.5,-0.107045665
17.6,-35.04213,34.72558,17.6,-0.14979586
17.7,-35.195553,34.94371,17.7,-0.18657418
17.8,-35.35102,35.166397,17.8,-0.21591435
17.9,-35.508976,35.39342,17.9,-0.23664671
18.0,-35.66984,35.624508,18.0,-0.24794471
18.1,-35.834003,35.859344,18.1,-0.24935794
18.2,-36.001823,36.097584,18.2,-0.24083005
18.3,-36.173622,36.338844,18.3,-0.22270104
18.4,-36.349678,36.582718,18.4,-0.19569363
18.5,-36.53024,36.82876,18.5,-0.16088453
18.6,-36.71549,37.07651,18.6,-0.11966148
18.7,-36.905582,37.3255,18.7,-0.0736679
18.8,-37.100613,37.575233,18.8,-0.024737414
18.9,-37.300636,37.82521,18.9,0.025179274
19.0,-37.50565,38.07494,19.0,0.07409214
19.1,-37.7156,38.323917,19.1,0.1200512
19.2,-37.93039,38.57166,19.2,0.16122419
19.3,-38.14987,38.817684,19.3,0.19596967
19.4,-38.373856,39.06153,19.4,0.22290246
19.5,-38.602093,39.30277,19.5,0.24094884
19.6,-38.83431,39.54098,19.6,0.24938935
19.7,-39.070175,39.775787,19.7,0.24788749
19.8,-39.309338,40.006836,19.8,0.23650314
19.9,-39.551407,40.23382,19.9,0.21569017
